workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"Feb 19, 2025","67b550c3adeb181c5daa787c","34m 40s","$19.25/hr","$11.13","prepay","Wilderness Queen","processed"
"Feb 16, 2025","67b19c5e57bafe68f725ad9b","49m 13s","$13.75/hr","$11.28","prepay","mighty_moo","processed"
"Feb 13, 2025","67ae1f75181f616e6dc36f13","49m 34s","$27.50/hr","$22.72","prepay","mighty_moo","processed"
"Feb 13, 2025","67ad05fa4999f4ac0cab243a","49m 26s","$27.50/hr","$22.66","prepay","mighty_moo","processed"
"Feb 13, 2025","67ad06186f00cce6276c9f40","48m 56s","$27.50/hr","$22.43","prepay","mighty_moo","processed"
"Feb 13, 2025","67adf92122fd225601c459da","26m 19s","$8.25/hr","$3.62","trainingTask","mighty_moo","processed"
"Feb 11, 2025","67aad096236678eb8ceec224","19m 49s","$20.00/hr","$6.61","prepay","multilingual_static_comparison","processed"
"Feb 11, 2025","67aad097ed55c519d423b389","18s","$6.00/hr","$0.03","overtimePay","multilingual_static_comparison","processed"
"Feb 11, 2025","67aad097ed55c519d423b389","22m ","$20.00/hr","$7.33","prepay","multilingual_static_comparison","processed"
"Feb 9, 2025","67a3248bf1f4d3b1bec058ba","20m 9s","$20.00/hr","$6.72","prepay","multilingual_static_comparison","processed"
"Feb 9, 2025","67a8182ae60b557d964b442c","19m 22s","$6.00/hr","$1.94","trainingTask","multilingual_static_comparison","processed"
"Feb 9, 2025","67a813d84defa9875e15f445","17m 55s","$6.00/hr","$1.79","trainingTask","multilingual_static_comparison","processed"
"Feb 9, 2025","67a80f3242ab32c23fade24a","14m 20s","$6.00/hr","$1.43","trainingTask","multilingual_static_comparison","processed"
"Oct 18, 2024","6709efef31cb61546c10069b","-","-","$8.68","payAdjustment","maintenance_insect","processed"
"Oct 14, 2024","670c379d761c164066565279","52m 49s","$15.00/hr","$13.21","prepay","maintenance_insect","processed"
"Oct 13, 2024","670a096039c8c59eaaa5a175","38m 25s","$15.00/hr","$9.61","prepay","maintenance_insect","processed"
"Oct 13, 2024","670a09618a3a3e1e1ceba1bb","46m 30s","$13.75/hr","$11.63","prepay","maintenance_insect","processed"
"Oct 13, 2024","670b8c05cfb5373d8f8cf30c","26s","$15.00/hr","$0.11","prepay","maintenance_insect","processed"
"Oct 13, 2024","670a0959527d86900445bc0d","51m 42s","$15.00/hr","$12.93","prepay","maintenance_insect","processed"
"Oct 13, 2024","670a095b3d939dc349dad422","25m 41s","$1.60/hr","$6.42","prepay","Ordination Knight","processed"
"Oct 12, 2024","6709eff22ba640b6317c5ad8","27m 40s","$15.00/hr","$6.92","prepay","maintenance_insect","processed"
"Oct 12, 2024","6709eff1fff4c77988d68302","55m 21s","$15.00/hr","$13.84","prepay","maintenance_insect","processed"
"Oct 12, 2024","6709efef31cb61546c10069b","52m 3s","$25.00/hr","$13.02","prepay","maintenance_insect","processed"
"Oct 12, 2024","6709efeb541f5cf50a0bd7bb","15m 56s","$4.13/hr","$1.10","overtimePay","maintenance_insect","processed"
"Oct 12, 2024","6709efeb541f5cf50a0bd7bb","1h ","$13.75/hr","$15.10","prepay","maintenance_insect","processed"
"Oct 8, 2024","6704e8a9ac29129ad11a9021","32m 11s","$1.72/task","$1.72","trainingTask","extensions_v2_tool_log","processed"
"Oct 8, 2024","6704da39944f5090ebbc0925","55m 50s","$1.72/task","$1.72","trainingTask","extensions_v2_tool_log","processed"
"Oct 7, 2024","67035b40e3d164858cd0d760","49m 19s","$13.75/hr","$3.39","trainingTask","mtlemur_astrologer","processed"
"Oct 7, 2024","67034d5dc1ea76604d4bcbd3","41m 7s","$13.75/hr","$2.83","trainingTask","mtlemur_astrologer","processed"
"Oct 5, 2024","6701441d18b9b547b26b113e","9m 39s","$4.50/hr","$0.72","trainingTask","java_screening","processed"
"Oct 5, 2024","67013bde7dcaaf632cc40863","30m ","$4.50/hr","$2.25","trainingTask","java_screening","processed"
